"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1190";"RUB";"Туника 015-25 56-66рр";"http://stile-n.ru/products/tunika-015-25-56-66rr";"состав 100% полиэстер (шифон) Отличная накидка на платье, купальник Можно скомбинировать с брюками и белой майкой Блуза свободная на кулиске Спинка длиннее переда Длина по переду - 85см, по спинке - 110см.";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/img_9230.800x600.jpg?8efe8ee3c04d29a199c5287af18d16fe";"http://stile-n.ru/files/products/img_9230.340x450.jpg?b13a089d8d1fe2f5a34f2a704b1920ca"
"1090";"RUB";"Блуза 015-11 56-66рр";"http://stile-n.ru/products/bluza-015-11-56-66rr";"состав 100% полиэстер (трикотаж-жатка, блеск золото) Туника свободная, по бокам глубокие разрезы Длина по спинке 80см";"56-58";"";"http://stile-n.ru/files/products/parf0424_1.800x600.jpg?ff4811fb8a11bbb4619d6aaa2c9180ae";"http://stile-n.ru/files/products/parf0424_1.340x450.jpg?2d9ced57d097c6efd7fdcc8c73c37638"
"1090";"RUB";"Блуза 015-10 56-66рр";"http://stile-n.ru/products/bluza-015-10-56-66rr";"состав 100% полиэстер (трикотаж-жатка, блеск золото) Туника свободная, по бокам глубокие разрезы Длина по спинке 80см";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf0414_2.800x600.jpg?6bc170d5ba72fa9acdbee1972655fbed";"http://stile-n.ru/files/products/parf0414_2.340x450.jpg?356c3f18bd7902d4ed85fa88d513ce00"
"1200";"RUB";"Рубашка 10-5 56-66рр";"http://stile-n.ru/products/rubashka-10-5-56-66rr";"состав 100% хлопок (рубашечная ткань) Рубашка на пуговицах Длина по спинке 75см";"56-58";"";"http://stile-n.ru/files/products/parf0372.800x600.jpg?d089534325740433389146cbbc6aca0a";"http://stile-n.ru/files/products/parf0372.340x450.jpg?99a89612563749a063c316aadc93aea5"
"1200";"RUB";"Рубашка 10-4 56-66рр";"http://stile-n.ru/products/rubashka-10-4-56-66rr";"состав 100% хлопок (рубашечная ткань) Рубашка на пуговицах Длина по спинке 75см";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf0362_1.800x600.jpg?ac93e6fd308129b59bafe2b71679b4fd";"http://stile-n.ru/files/products/parf0362_1.340x450.jpg?6d6fd76564066a2fe5d76b74c5568cf3"
"850";"RUB";"Блуза 119-4 56-66рр";"http://stile-n.ru/products/bluza-119-4-56-66rr";"состав 100% полиэстер (креп ) Длина блузки - 75см, рукав 30см";"56, 62, 66";"";"http://stile-n.ru/files/products/parf0453_1.800x600.jpg?043cb3c97839665b726482270bd3ab29";"http://stile-n.ru/files/products/parf0453_1.340x450.jpg?00ccb87a6654439ea84ea98a5596709d"
"850";"RUB";"Блуза 119-3 56-66рр";"http://stile-n.ru/products/bluza-119-3-56-66rr";"состав 100% полиэстер (креп ) Длина блузки - 75см, рукав 30см";"56, 58, 60, 64, 66";"";"http://stile-n.ru/files/products/parf0507_1.800x600.jpg?49ae010855106d579ca97efad6c286cd";"http://stile-n.ru/files/products/parf0507_1.340x450.jpg?d354173d7ba34a4b313c2bf810e5096c"
"690";"RUB";"Футболка К001-31 56-70рр";"http://stile-n.ru/products/futbolka-k001-31-56-70rr";"состав 95% вискоза, 5%лайкра (трикотаж вискоза) Блуза свободная, с разрезами по бокам Длина блузки 73см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf0484.800x600.jpg?95879615d5fdf481810d3e31166279e5";"http://stile-n.ru/files/products/parf0484.340x450.jpg?16b578fed850d6bafd0de6be22d3e054"
"690";"RUB";"Футболка К001-30 56-70рр";"http://stile-n.ru/products/futbolka-k001-30-56-70rr";"состав 95% вискоза, 5%лайкра (трикотаж вискоза) Блуза свободная, с разрезами по бокам Длина блузки 73см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf0498.800x600.jpg?86f30ecfc6cb75f3a3b3a1079d7e019d";"http://stile-n.ru/files/products/parf0498.340x450.jpg?34d31af07d9cd8e732659e8574da2f68"
"1100";"RUB";"Кардиган 007т-11 56-66рр";"http://stile-n.ru/products/kardigan-007t-11-56-66rr";"состав 65% полиэстер, 35% вискоза Кардиган без застежки Длина кардигана по спинке - 88см, длина рукав - 57см Рост модели 172см, размер 58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf0391.800x600.jpg?e7937e3e9ff2d0a1734e12c144a5216b";"http://stile-n.ru/files/products/parf0391.340x450.jpg?da141b86090bd0760d5f7da56b301151"
"1090";"RUB";"Туника 015-17 56-66рр";"http://stile-n.ru/products/tunika-015-17-56-66rr";"состав 100% полиэстер (трикотаж-жатка, блеск золото) Туника свободная, по бокам глубокие разрезы Длина по спинке 80см";"60-62, 64-66";"";"http://stile-n.ru/files/products/parf6547.800x600.jpg?a4a9c4c06d0de2400b190bdc7b89a20c";"http://stile-n.ru/files/products/parf6547.340x450.jpg?7b277b3ca80f189f97e6d6aa301e2fc6"
"1090";"RUB";"Туника 015-18 56-66рр";"http://stile-n.ru/products/tunika-015-18-56-66rr";"состав 100% полиэстер (трикотаж-жатка, блеск золото) Туника свободная, по бокам глубокие разрезы Длина по спинке 80см";"56-58, 60-62";"";"http://stile-n.ru/files/products/parf0624.800x600.jpg?d5cd4b8c6d79f1e1469d670e9387bb03";"http://stile-n.ru/files/products/parf0624.340x450.jpg?3bce0a8c809ae4d3b481eca52fc7470e"
