"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1050";"RUB";"Платье 032-3 56-64рр";"http://stile-n.ru/products/plate-032-3-56-64rr";"состав 100% полиэстер (масло-трикотаж) Платье прямое Длина платья 110см (ткань 95см + кружево15см) Длина рукава 43см Рост модели 172см, размер 58";"56, 58, 60, 64, 66";"";"http://stile-n.ru/files/products/parf2287.800x600.jpg?34abf78e6a44dc8da38bb91d317c9924";"http://stile-n.ru/files/products/parf2287.340x450.jpg?fd36fd73e48c5aca9e481ca4cd91b0fd"
"1690";"RUB";"Платье 1000-16 56-66рр";"http://stile-n.ru/products/plate-1000-16-56-66rr";"состав: верхнее платье 100% полиэстер, шифон, нижнее платье 95% вискоза, 5% лайкра , длина 145 см";"56-58, 60-62";"";"http://stile-n.ru/files/products/parf2355.800x600.jpg?0fcbe4809a78578b6223c41aae0af39b";"http://stile-n.ru/files/products/parf2355.340x450.jpg?708c3d0af7b4d3e009331c3cf7bac604"
"1490";"RUB";"Платье 001а-33 56-66рр";"http://stile-n.ru/products/plate-001a-33-56-66rr";"";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2259.800x600.jpg?8f6974e2514df291f17313aae2baf9b1";"http://stile-n.ru/files/products/parf2259.340x450.jpg?0c2fb4cdb5d62bbea36137d0f208591f"
"1790";"RUB";"Платье 1000-15 56-66рр";"http://stile-n.ru/products/plate-1000-15-56-66rr";"состав 100% полиэстер (ниагара) Платье длинное, на запах Рукав свободный на резинке Пояс резинка Рост модели 172см, размер 58";"56-58";"";"http://stile-n.ru/files/products/parf2248.800x600.jpg?cc2f07129550282fdd2c44a4e8507cf3";"http://stile-n.ru/files/products/parf2248.340x450.jpg?7e7ae5431a086146cd694cf1af2d5bc2"
"1490";"RUB";"Платье 001а-52 56-66рр";"http://stile-n.ru/products/plate-001a-52-56-66rr";"состав 100% полиэстер (трикотаж масло) Длина по спинке - 148см Рукав летучая мышь, длина рукава от горловины - 55см";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2234_1.800x600.jpg?6960ba608e7656b49eb1135da6bc5edc";"http://stile-n.ru/files/products/parf2234_1.340x450.jpg?62fa6e9ceeea4fff216b340ad9bcc6b9"
"1450";"RUB";"Платье 001а-51 золото 56-70рр";"http://stile-n.ru/products/plate-001a-51-zoloto-56-70rr";"состав 100% полиэстер (трикотаж масло) Длина по спинке - 148см Рукав летучая мышь, длина рукава от горловины - 55см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf0266.800x600.jpg?0f2610f3570ef813278409c68a9c4c7d";"http://stile-n.ru/files/products/parf0266.340x450.jpg?5a65aa6338a0138e414235cbcd87318c"
"1450";"RUB";"Платье 001а-53 черное абстр. 56-70рр";"http://stile-n.ru/products/plate-001a-53-chernoe-abstr-56-70rr";"состав 100% полиэстер (трикотаж масло) Длина по спинке - 148см Рукав летучая мышь, длина рукава от горловины - 55см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf0099_1.800x600.jpg?965fb278f2e03d2a846cf0b8d48b5d20";"http://stile-n.ru/files/products/parf0099_1.340x450.jpg?3faf7516cf9ff4122a494126a5ef519a"
"2950";"RUB";"Платье 153-12 56-66рр";"http://stile-n.ru/products/plate-153-12-56-66rr";"Комплект состоит из платья выполненого из кружева (вышивка на сетке) и платья-майки. Состав 100% полиэстер Платье свободное Длина платья 115см Рост модели 172см, размер 56-58";"60-62, 64-66";"";"http://stile-n.ru/files/products/parf0337_1.800x600.jpg?5e75e1702d1fe3536d39233d570f08d1";"http://stile-n.ru/files/products/parf0337_1.340x450.jpg?8f49833be3914eeca5fd9ab2c177d836"
"2950";"RUB";"Платье 153-13 56-66рр";"http://stile-n.ru/products/plate-153-13-56-66rr";"Комплект состоит из платья выполненого из кружева (вышивка на сетке) и платья-майки. Состав 100% полиэстер Платье свободное Длина платья 115см Рост модели 172см, размер 56-58";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf0324_1.800x600.jpg?03bce36d3fec05015e70dcbb39e2ffa1";"http://stile-n.ru/files/products/parf0324_1.340x450.jpg?c6efd28a2ac0973ceb63b83502b7b933"
"1690";"RUB";"Комплект 860-6 56-66рр";"http://stile-n.ru/products/komplekt-860-6-56-66rr";"Комплект состоит из блузки и юбки. Состав блузки: 100% полиэстер (ниагара) Блузка свободная с ассиметричным низом Состав юбки: 100% полиэстер (трикотаж с напылением, голубой\золото) Юбка на резинке, со шлицей Юбка длиной 68см Рост модели 172см, размер 56-58";"56, 58, 60, 62, 64, 66";"";"http://stile-n.ru/files/products/parf0306.800x600.jpg?5fe75dba8530b00b408c80c3ce7d5d29";"http://stile-n.ru/files/products/parf0306.340x450.jpg?c7e7b5c55293cfe6f4ff6edd8e2fe157"
