"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"700";"RUB";"Платье 001-20 54р";"http://stile-n.ru/products/plate-001-20-54r";"состав 100% полиэстер (креп+кружево, креп- не просвечивает) Платье на резинке, длина платья 120см";"54";"";"http://stile-n.ru/files/products/dscf1698.800x600.jpg?afed31d8a3ce021741468846f329a791";"http://stile-n.ru/files/products/dscf1698.340x450.jpg?9a0f11efacb0fbea75bb5f40226e8052"
"490";"RUB";"Блуза 099-21 54рр";"http://stile-n.ru/products/bluza-099-21-54rr-";"состав 100% хлопок (штапель) Длина по спинке 75см, рукав 30см";"54";"";"http://stile-n.ru/files/products/img_8793.800x600.jpg?9956752aa9743c3a6ec3a24cf2e54df7";"http://stile-n.ru/files/products/img_8793.340x450.jpg?e6827cb5dfa058b67298e2080540260b"
"850";"RUB";"Платье 039-14 56-58рр";"http://stile-n.ru/products/plate-039-14-56-58rr";"состав 100% хлопок (штапель) Кокетка - кружево Платье с поясом Длина платья - 143см";"56-58";"";"http://stile-n.ru/files/products/img_8738.800x600.jpg?d2f65abba35b0f31f7611474e99e4d24";"http://stile-n.ru/files/products/img_8738.340x450.jpg?b9f03371ddff5c81081734c203caaf57"
"800";"RUB";"Платье 039-12 тем.цв. 56-58рр штапель";"http://stile-n.ru/products/plate-039-12-temtsv-56-58rr-shtapel";"";"56-58";"";"http://stile-n.ru/files/products/dscf9820.800x600.jpg?31eb10da7cb9d3629dcd792916714f8c";"http://stile-n.ru/files/products/dscf9820.340x450.jpg?ec67b8bc33cc45ff00db91663b6d0db5"
"700";"RUB";"Платье 130-7 64рр";"http://stile-n.ru/products/plate-130-7-64rr";"состав 100% хлопок (хлопок-атлас, стрейч) Платье полуприлегающее Платье имеет потайную молнию, в центральном шве по спинке";"64";"";"http://stile-n.ru/files/products/dscf8772.800x600.jpg?4a289193c164da0152eade0647381c7e";"http://stile-n.ru/files/products/dscf8772.340x450.jpg?9f4aed4aa14266e414822001a43b955e"
"1650";"RUB";"Платье-рубашка св.джинс 137-2 62рр";"http://stile-n.ru/products/plate-rubashka-svdzhins-137-2-62rr-";"состав 100% хлопок (джинсовая ткань, хлопок) Платье-рубашка, А-силует. Рукав длинный на манжете, на пуговице Ремень в стоимость платья не входит Длина платья 108см";"62";"";"http://stile-n.ru/files/products/dscf5032.800x600.jpg?abb2cfedd2fb623f3b23303af8af2b67";"http://stile-n.ru/files/products/dscf5032.340x450.jpg?36a970510bf3ea0a305d79a4c59a8454"
"500";"RUB";"Платье 525-1 54,56рр";"http://stile-n.ru/products/plate-525-1-5456rr";"состав 100 %полиэстер костюмная ткань, небольшой стрейч Платье на замке";"54";"";"http://stile-n.ru/files/products/MATD0020.800x600.jpg?f4da983610c44bb882fa120a0f646c70";"http://stile-n.ru/files/products/MATD0020.340x450.jpg?b51b6c4b400e4d5d9d4938d964e5e636"
"850";"RUB";"Платье 071-7 черное 56,58рр";"http://stile-n.ru/products/plate-071-7-chernoe-5658rr";"состав (трикотаж плотный) Платья прямое, без замка Длина платья 108см, рукав 45 см";"56";"";"http://stile-n.ru/files/products/DSCF8031.800x600.jpg?15ae5c6f948714ccd04f4da45369101a";"http://stile-n.ru/files/products/DSCF8031.340x450.jpg?b505490e9de8260af32f326bbd40ab18"
"500";"RUB";"Блуза 045-14  56-62рр";"http://stile-n.ru/products/bluza-045-14-56-62rr";"состав 100% полиэстер (масло, трикотаж)";"56-58";"";"http://stile-n.ru/files/products/DSCF1893_1.800x600.jpg?49e52026f8bac541ba413959901e873b";"http://stile-n.ru/files/products/DSCF1893_1.340x450.jpg?348ef057c5131ba6cd4d7ea1db957488"
"850";"RUB";"Платье 071-8 блеск 56рр";"http://stile-n.ru/products/plate-071-8-blesk-56rr";"состав (креп-трикотаж, средней плотности) платья прямое Подол дополнен притачной деталью из кружева, расшитого пайетками (большая часть матовых пайеток, блестит не сильно) Длина платья 108см Рукав 45 см";"56";"";"http://stile-n.ru/files/products/DSCF8326.800x600.jpg?5e742306f3ca01f4841d2c026de2e72d";"http://stile-n.ru/files/products/DSCF8326.340x450.jpg?a71eef30c97b26814a981c933109acc1"
"490";"RUB";"Платье 09-3  48р";"http://stile-n.ru/products/plate-09-3-48r";"состав 100% полиэстер (трикотаж джерси) Длина платья 100см, рукав - 45 см Украшение входит в стоимость платья  Маломерит на размер";"48";"";"http://stile-n.ru/files/products/DSCF5482.800x600.jpg?b12b063f135867a526aa9657674c0820";"http://stile-n.ru/files/products/DSCF5482.340x450.jpg?14985ad4a68c3361a224d0f0af338709"
"400";"RUB";"Платье 09-4 маломерит на размер 44рр";"http://stile-n.ru/products/plate-09-4-malomerit-na-razmer-44rr";"состав 100% полиэстер (трикотаж джерси) Длина платья 100см, рукав - 45 см Украшение входит в стоимость платья  Маломерит на размер";"44";"";"http://stile-n.ru/files/products/DSCF5234.800x600.jpg?cfcf309cae0938cd4ec0aa4539149078";"http://stile-n.ru/files/products/DSCF5234.340x450.jpg?5d0fb62c311a514a63034e6352cc9acd"
"300";"RUB";"Платье 09-2  44рр";"http://stile-n.ru/products/plate-09-2-44rr";"состав 80% вискоза, 20% полиэстер (трикотаж джерси) Длина платья 100см, рукав - 45 см";"44";"";"http://stile-n.ru/files/products/DSCF5092.800x600.jpg?466346a48809dfc5c3c8fe6c48b7826b";"http://stile-n.ru/files/products/DSCF5092.340x450.jpg?4dfae217bc5c7e9875da097d804d7f27"
"400";"RUB";"Блуза 099-11 52-54рр";"http://stile-n.ru/products/bluza-099-11-52-54rr";"состав 100% полиэстер (масло) Перед.кокетка - кружево";"52-54";"";"http://stile-n.ru/files/products/DSCF1420.800x600.jpg?f5e7283802f4015f6f5163749ccca3b5";"http://stile-n.ru/files/products/DSCF1420.340x450.jpg?55eaff6dec3043dfc687e429823af028"
"500";"RUB";"Туника 19-4  56-58р";"http://stile-n.ru/products/tunika-19-4-56-58r-";"состав 100% полиэстер (шифон) Туника без майки (майку можно приобрести отдельно (подойдут желтая, зеленая, голубая) Туника на кулиске, достаточно свободная (если не любите сильно свободную можно взять на размерность меньше) Также отличный вариант - на пляж, длина общая по спинке - 80 см";"56-58, 60-62";"";"http://stile-n.ru/files/products/019-4.800x600.jpg?7b070c4b9ae385572779dfa9046cfbff";"http://stile-n.ru/files/products/019-4.340x450.jpg?ed2b92f94500a88355f4ddaba678d4a1"
"550";"RUB";"Платье 2в1-18 56рр";"http://stile-n.ru/products/plate-2v1-18-56rr";"состав 60% вискоза, 35%полиэстер, 5%эластан Имитация костюма Длина платья 108 см, рукав - 43см";"56";"";"http://stile-n.ru/files/products/nsbest-5.800x600.jpg?e31e3d08d4bf7d5e28842cc9cf31d632";"http://stile-n.ru/files/products/nsbest-5.340x450.jpg?b701a637b7b68eae186b6156c45a617e"
"750";"RUB";"Платье 112-10 красное, маломерит 56-рр";"http://stile-n.ru/products/plate-112-10-krasnoe-malomerit-56-rr";"состав 100% полиэстер (костюмная ткань, не тянется) МАЛОМЕРИТ!!! Длина платья - 120 см, длина юбки - 70см, длина рукав - 30см Платья с карманами, пояс на кулиске Верх платья выполнен ввиде рубашки (пуговки растегиваются)";"56";"";"http://stile-n.ru/files/products/DMAT0471.800x600.jpg?0e8b97a40877064180671ec934f247e6";"http://stile-n.ru/files/products/DMAT0471.340x450.jpg?37e4bb5e899cee45ebf3f9a706c764c5"
"500";"RUB";"Платье 081-1 62рр";"http://stile-n.ru/products/plate-081-1-62rr";"состав  100% полиэстер (костюмная ткань+шифон) Платье на замке, есть шлица";"62";"";"http://stile-n.ru/files/products/DMAT0058.800x600.jpg?5cbce5a363accb58d541b55298d2dd4b";"http://stile-n.ru/files/products/DMAT0058.340x450.jpg?4081885e1b7c7a71e38c4365c4e943eb"
"650";"RUB";"Платье 035-16 62,66рр";"http://stile-n.ru/products/plate-035-16-6266rr";"состав 30% вискоза 70% полиэстер, длина изделия 110 см, длина рукава 28 см Платье с карманами";"62, 66";"";"http://stile-n.ru/files/products/DMAT0344.800x600.jpg?3222ed1433f3def79085ca1dca2236a3";"http://stile-n.ru/files/products/DMAT0344.340x450.jpg?8e1c9850c9bc7ce076b3ebe35e9f6c03"
"300";"RUB";"Платье 14-2 46-50рр";"http://stile-n.ru/products/plate-14-2-46-50rr";"состав: 100% полиэстер , длина рукава 25см, длина изделия 140см";"46, 48";"";"http://stile-n.ru/files/products/DSCF2494.800x600.jpg?4b2042e15d477830e266d365e7185880";"http://stile-n.ru/files/products/DSCF2494.340x450.jpg?58fe4b1755138c6eb8774c6b8d80aae8"
"900";"RUB";"Платье 001-12 58рр шифон";"http://stile-n.ru/products/plate-001-12-58rr-shifon";"состав 100% полиэстер (шифон) Платье на резинке";"58 (56-58)";"";"http://stile-n.ru/files/products/stylen-43_1.800x600.jpg?d2128992bd79dbad521a4552fb2bfd69";"http://stile-n.ru/files/products/stylen-43_1.340x450.jpg?2656c4b2a7686c0079cbbf6e241bb715"
