"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1350";"RUB";"Платье 153-18 56-70 рр";"http://stile-n.ru/products/plate-153-18-56-70-rr";"состав 100% хлопок Платье прямое, с небольшими разрезами по спинке Длина по спинке -  110см, рука 45см Рост модели 172см,  размер 56-58";"60-62, 64-66";"";"http://stile-n.ru/files/products/parf2433.800x600.jpg?01a57486b8eb387263cb296ee4893701";"http://stile-n.ru/files/products/parf2433.340x450.jpg?ca35654521e0283b86f1c65f95998850"
"1590";"RUB";"Платье 454-2 56-64 рр";"http://stile-n.ru/products/plate-454-2-56-64-rr";"состав 100% хлопок (штапель) Платье свободное с карманами Длина платья 110см Рукав на резинке Рост модели 172см, размер 56-58";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf2343.800x600.jpg?70aeb39f487f5834db680daf5ff54dc7";"http://stile-n.ru/files/products/parf2343.340x450.jpg?1628ba3d172bd51164b96786cfa562c3"
"1350";"RUB";"Брюки 18-51 56-66рр";"http://stile-n.ru/products/bryuki-18-51-56-66rr";"состав 50% хлопок , 50% полиэстер ( легкая ткань для лета) Брюки на резинке, с карманами Длина брюк по внутрен.шву - 74см";"56-58, 60-62";"";"http://stile-n.ru/files/products/parf0439.800x600.jpg?6a9187d2280078196789038a2b27770d";"http://stile-n.ru/files/products/parf0439.340x450.jpg?cdf5a3a4196dd9fa35d0b05abc84b5a3"
"1450";"RUB";"Платье 001а-53 черное абстр. 56-70рр";"http://stile-n.ru/products/plate-001a-53-chernoe-abstr-56-70rr";"состав 100% полиэстер (трикотаж масло) Длина по спинке - 148см Рукав летучая мышь, длина рукава от горловины - 55см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf0099_1.800x600.jpg?965fb278f2e03d2a846cf0b8d48b5d20";"http://stile-n.ru/files/products/parf0099_1.340x450.jpg?3faf7516cf9ff4122a494126a5ef519a"
"1090";"RUB";"Блуза 015-10 56-66рр";"http://stile-n.ru/products/bluza-015-10-56-66rr";"состав 100% полиэстер (трикотаж-жатка, блеск золото) Туника свободная, по бокам глубокие разрезы Длина по спинке 80см";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf0414_2.800x600.jpg?6bc170d5ba72fa9acdbee1972655fbed";"http://stile-n.ru/files/products/parf0414_2.340x450.jpg?356c3f18bd7902d4ed85fa88d513ce00"
"1690";"RUB";"Комплект 860-5 56-66рр";"http://stile-n.ru/products/komplekt-860-5-56-66rr";"Комплект состоит из блузки и юбки. Состав блузки: 100% полиэстер (ниагара) Блузка свободная с ассиметричным низом Состав юбки: 100% полиэстер (трикотаж с напылением, пудра\золото) Юбка на резинке, со шлицей Юбка длиной 68см Рост модели 172см, размер 56-58";"60, 62, 64, 66";"";"http://stile-n.ru/files/products/parf0295_1.800x600.jpg?c7453b8ecfc92c4133bdf78b341e7de2";"http://stile-n.ru/files/products/parf0295_1.340x450.jpg?094d89015c1c8fe35a4eeab00b3b896d"
"1490";"RUB";"Платье 245-11 56-66рр";"http://stile-n.ru/products/plate-245-11-56-66rr";"состав 35% полиэстер, 60% вискоза, 5% эластан (трикотаж) Платье-туника полуприлегающее Длина по спинке 112см, рукав 45см";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf0261.800x600.jpg?1cfb2655acf05a99133bc6e429ffdf28";"http://stile-n.ru/files/products/parf0261.340x450.jpg?309b7dd8dbbf356dc6a1144c0a5c62de"
"1450";"RUB";"Платье 207-1 56-66рр";"http://stile-n.ru/products/plate-207-1-56-66rr";"состав 20% вискоза, 80% полиэстер (креп-трикотаж, всесезонный) Платье полуприлегающеей Платье с пайетками (синий/золото) Длина платья 108см Рост модели 172см, размер 58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/dscf0729.800x600.jpg?5ef86dd61b76142493018ceaf3833ac2";"http://stile-n.ru/files/products/dscf0729.340x450.jpg?4c0e150a998fb1e5dcc84ac38acd8337"
"1190";"RUB";"Шорты 100-7 56-70рр Арабский голубой цвет";"http://stile-n.ru/products/shorty-100-7-56-70rr-arabskij-goluboj-tsvet";"состав 100% хлопок (джинс-хлопок) Шорты с карманами, на замке Длина шорт (внутренняя сторона) - 30см Рост модели 172см, размер 58";"62";"";"http://stile-n.ru/files/products/dscf0971.800x600.jpg?67c1719a9d447d3c80fb0af9d8dba0aa";"http://stile-n.ru/files/products/dscf0971.340x450.jpg?e1fa9274e5742a2add68faac0d032bf2"
"1200";"RUB";"Шорты 100-5 джинс";"http://stile-n.ru/products/shorty-100-5-dzhins-";"состав 100% хлопок (джинс-хлопок) Шорты с карманами, на замке Длина шорт (внутренняя сторона) - 30см Рост модели 172см, размер 58";"62";"";"http://stile-n.ru/files/products/dscf0926.800x600.jpg?0fde924430320fb0c0d42359f507daa5";"http://stile-n.ru/files/products/dscf0926.340x450.jpg?d08c7fea74aef7d5a6f6c57d939cfc6b"
