"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1250";"RUB";"Платье 140-3";"http://stile-n.ru/products/plate-140-3";"состав 100% хлопок (хлопок) Платье свободное, расклешенное Рукав короткий, 30см Спинка на кокетке, со складкой Длина платья 108см Лента в стоимость платья не входит";"56, 58, 62, 64";"";"http://stile-n.ru/files/products/parf5957.800x600.jpg?9671806edeeb2af5df2475bc9eb796bf";"http://stile-n.ru/files/products/parf5957.340x450.jpg?4fa3d02dd18ecc8c75ff094b73b7febe"
"1300";"RUB";"Платье п001-1";"http://stile-n.ru/products/plate-p001-1";"состав 95% полиэстер, 5% эластан (трикотаж масло) Платье свободное,с разрезом с одной стороны Длина платья - 130 см Рост модели 172см, размер 58";"56-58, 60-62";"";"http://stile-n.ru/files/products/parf5946.800x600.jpg?a93edeae9490ce8e6ae004e7891dec83";"http://stile-n.ru/files/products/parf5946.340x450.jpg?095d47de50fbeb3581025a0aadeaee08"
"1390";"RUB";"Платье 171-2 56-66рр";"http://stile-n.ru/products/plate-171-2-56-66rr";"состав 100% полиэстер (ниагара) Платье свободое Длина по спинке 115см Рост модели 172см размер 56-58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2386_1.800x600.jpg?edd669a3250d2c7d3f4101c31189cb41";"http://stile-n.ru/files/products/parf2386_1.340x450.jpg?ea3efa1694a5b4afe7160140f513a595"
"1550";"RUB";"Платье 139-2 60-64рр";"http://stile-n.ru/products/plate-139-2-60-64rr";"состав 100% полиэстер (облегченная костюмная ткань, мягкая) Платье свободное, с карманами, на замке Длина по спинке 128см, рукав - 54см";"60-62, 64-66";"";"http://stile-n.ru/files/products/parf2542_1.800x600.jpg?ac440a004d9724abc4dbfa2f0e107e1c";"http://stile-n.ru/files/products/parf2542_1.340x450.jpg?52105125b457b3bde1e8182a2689c574"
"1590";"RUB";"Платье 139-1 56-70рр";"http://stile-n.ru/products/plate-139-1-56-70rr";"состав 100% полиэстер (облегченная костюмная ткань, мягкая) Платье свободное, с карманами, на замке Длина по спинке 128см, рукав - 54см";"56-58";"";"http://stile-n.ru/files/products/parf0059_1.800x600.jpg?5a46e81223ebfe78e049376cb8e15bb9";"http://stile-n.ru/files/products/parf0059_1.340x450.jpg?6b2fc8e50983ea9640f1d9e7dd8aec7b"
"1290";"RUB";"Платье 153-15 56-66рр";"http://stile-n.ru/products/plate-153-15-56-66rr";"состав 95% полиэстер, 5% эластан(ниагара) Платье свободное Длина по спинке 118см, рукав 45см   Рост модели 172см, размер 58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2513.800x600.jpg?e951d2546fd8ae8aa0728b82ef2c859b";"http://stile-n.ru/files/products/parf2513.340x450.jpg?26c06d0fe3acbcb1a793a38b32aa363d"
"1290";"RUB";"Платье 153-17 56-66рр";"http://stile-n.ru/products/plate-153-17-56-66rr";"состав 95% полиэстер, 5% эластан(ниагара) Платье свободное Длина по спинке 118см, рукав 45см   Рост модели 172см, размер 58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2493.800x600.jpg?da3f758ccf4d060767d0b59a1bcbccd6";"http://stile-n.ru/files/products/parf2493.340x450.jpg?22fc056b210c0bdb6452b4a8a7d23a59"
"1290";"RUB";"Платье 153-16 56-66рр";"http://stile-n.ru/products/plate-153-16-56-66rr";"состав 95% полиэстер, 5% эластан(ниагара) Платье свободное Длина по спинке 118см, рукав 45см   Рост модели 172см, размер 58";"56-58, 60-62, 64-66";"";"http://stile-n.ru/files/products/parf2525.800x600.jpg?50efae58795fc5890f80e2ba7bf8ad9f";"http://stile-n.ru/files/products/parf2525.340x450.jpg?d10b49c42ddd557dd8564119794194b4"
"1190";"RUB";"Платье 235-41 56-66рр";"http://stile-n.ru/products/plate-235-41-56-66rr";"состав 70% полиэстер, 30% вискоза, трикотаж средней плотности. Платье полуприлегающее, с лампасом.  Длина по спинке - 110см, рукав 45см";"56-58, 60-62, 64-66, 68-70";"";"http://stile-n.ru/files/products/parf2446.800x600.jpg?13312bcd644c6c0734578a923d6e1bce";"http://stile-n.ru/files/products/parf2446.340x450.jpg?5560616e4d46921d2da3d73cfae8ee9a"
"1050";"RUB";"Платье 032-3 56-64рр";"http://stile-n.ru/products/plate-032-3-56-64rr";"состав 100% полиэстер (масло-трикотаж) Платье прямое Длина платья 110см (ткань 95см + кружево15см) Длина рукава 43см Рост модели 172см, размер 58";"56, 58, 60, 64, 66";"";"http://stile-n.ru/files/products/parf2287.800x600.jpg?34abf78e6a44dc8da38bb91d317c9924";"http://stile-n.ru/files/products/parf2287.340x450.jpg?fd36fd73e48c5aca9e481ca4cd91b0fd"
