"Цена";"Валюта";"Наименование";"Ссылка";"Описание";"Размеры";"";"Изображение";"Маленькое изображение"
"1490";"RUB";"Платье 422-3 56-66рр";"http://stile-n.ru/products/plate-422-3-56-66rr";"состав 65% полиэстер, 35% вискоза  (футер петля) Платье прямое, без обработки швы, Длина платья по спинке 112см, рукав 40см Рост модели 172см, размер 58 (объем груди 118см)";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf1179.800x600.jpg?8c14bada5eb561ebb9cbdd86a95541bc";"http://stile-n.ru/files/products/parf1179.340x450.jpg?0043d2be8764a4a5ef5990f78e03d748"
"1490";"RUB";"Платье 555-14 54-64рр";"http://stile-n.ru/products/plate-555-14-54-64rr";"состав 100% полиэстер (костюмная ткань барби) Платье полуприлегающее, с карманами Без замка Длина по спинке - 108см, длина рукава от горловины 52см";"56, 54, 58, 60, 62";"";"http://stile-n.ru/files/products/parf7803.800x600.jpg?9d62d601dcd939214e0be3e4fbafdb36";"http://stile-n.ru/files/products/parf7803.340x450.jpg?2596835a2a8584545d7daf99e01f981c"
"1500";"RUB";"Платье 235-25 56-70рр";"http://stile-n.ru/products/plate-235-25-56-70rr";"состав 100% полиэстер (плотный трикотаж, всесезонный) Палтье с карманами, свободное Длина по спинке - 122см, рукав спущенный";"60-62";"";"http://stile-n.ru/files/products/parf7454.800x600.jpg?aa3b2b9ca08756f8e65dd202d6d8d3fa";"http://stile-n.ru/files/products/parf7454.340x450.jpg?d88d64aad991c2816b1508bc47d09130"
"1500";"RUB";"Платье 235-26 56-70рр";"http://stile-n.ru/products/plate-235-26-56-70rr";"состав 100% полиэстер (плотный трикотаж, всесезонный) Палтье с карманами, свободное Длина по спинке - 122см, рукав спущенный";"56-58, 64-66";"";"http://stile-n.ru/files/products/parf7440.800x600.jpg?606f1993a81509412d8ed64d6c8591e5";"http://stile-n.ru/files/products/parf7440.340x450.jpg?d67718aafb2adc345bae58c71db3195b"
"1290";"RUB";"Платье 305-5 56-66рр";"http://stile-n.ru/products/plate-305-5-56-66rr";"состав 50%вискоза, 45% полиэстер, 5%эластан (трикотаж жаккард) Платье свободное, низ расклешенный Длина по переду 105см, спинка - 110см";"56-58";"";"http://stile-n.ru/files/products/parf7394.800x600.jpg?8ca0b91424762add0a4cc696b93bbb3a";"http://stile-n.ru/files/products/parf7394.340x450.jpg?81b39c60219a5c49b8347d688a3e38a7"
"1150";"RUB";"Платье 040-20 56-64рр";"http://stile-n.ru/products/plate-040-20-56-64rr";"состав 55% вискоза, 40% полиэстер, 5% эластан (трикотаж джерси, средней плотности) Платье полуприлегающее Длина по спинке - 107см, длина рукава  - 50 см";"56, 60, 62, 64";"";"http://stile-n.ru/files/products/parf6869.800x600.jpg?ef1712d7616122dcd628df708b931fa3";"http://stile-n.ru/files/products/parf6869.340x450.jpg?76056edd7147c3ce9b66cc4ace67c261"
"1690";"RUB";"Платье 835-1 букле -пайетка, черное";"http://stile-n.ru/products/plate-835-1-bukle--pajetka-chernoe";"состав 30% вискоза, 70% полиэстер (трикотаж мягкий, букле-пайетка) Трикотаж не плотный, тонкий По бокам не большие разрезы Длина по спинке 138см, рукав 45см";"60-62";"";"http://stile-n.ru/files/products/parf8139.800x600.jpg?2c374309c7971fc7cc3c7cb40de052c9";"http://stile-n.ru/files/products/parf8139.340x450.jpg?557d1eb32dafc72a51ada4735e7a0be1"
"1090";"RUB";"Платье 050-10* 56-64рр";"http://stile-n.ru/products/plate-050-10-56-64rr";"состав 60% вискоза,35% полиэстер,5% лайкра Трикотаж джерси Длина платья - 110см, длина рукава - 50см";"62";"";"http://stile-n.ru/files/products/parf0593_1.800x600.jpg?21ddcc81cf48f0427f7b050731557e8d";"http://stile-n.ru/files/products/parf0593_1.340x450.jpg?ebdd3607f56abc52eb08975c82e3239a"
"1690";"RUB";"Платье 258-5 56-70рр";"http://stile-n.ru/products/plate-258-5-56-70rr";"состав 55% вискоза, 40% полиэстер, 5% эластан (трикотаж плотный) Платья свободное, по переду не симметричная складка - застрочена до талии Аппликация пришита Длина платья 110см, рукав 46см";"56-58";"";"http://stile-n.ru/files/products/parf0336.800x600.jpg?bb285b7fbaa40012d5b1210366ddc73a";"http://stile-n.ru/files/products/parf0336.340x450.jpg?25a0f0da2cbc4305f53693400f76a300"
"1390";"RUB";"Платье 040-18 люрекс 56-66рр";"http://stile-n.ru/products/plate-040-18-lyureks-56-66rr";"состав 100% полиэстер (трикотаж, средней плотности, люрекс) Платье полуприлегающее Длина по спинке - 106см, рукав 45см";"56, 66";"";"http://stile-n.ru/files/products/parf6234.800x600.jpg?c7fe6b3ea59f963454c7c8e45d43322e";"http://stile-n.ru/files/products/parf6234.340x450.jpg?6eb4529149a04d5ce0323076c644bee9"
